,noun_cluster,fact_cluster,nouns,facts,similarity_score
0,0,2,"['30,000 homes', '40,000 homes']","['The Coast Guard is taking more than 1,000 calls per hour from people needing rescue.', 'The National Guard has made 8,500 rescues and evacuated 26,000 people in Texas.', 'There are 32,000 people in shelters throughout Texas.', 'The Houston Fire Department has received about 15,000 calls for assistance.', 'Emergency workers and volunteers received 60,000 to 70,000 calls for help in Houston.', 'At least 9,000 to 10,000 people have been rescued in the Houston region by first responders.', 'First responders have rescued about 500 people so far.', 'There are currently 269 people in shelters in southwest Louisiana, 200 of whom were rescued.', '13,000 people were rescued in the Houston area and surrounding cities and counties in Southeast Texas.', 'More than 17,000 people have sought refuge in Texas shelters.', 'Authorities received more than 2,000 calls for help during the flooding.', 'Helicopters rescued flood victims from rooftops in Houston.', 'The Coast Guard rescued more than 100 people from rooftops and conducted over 2,000 multi-person rescues.']",0.4278856735900013
1,1,11,"['Hurricane Harvey', 'Hurricane Harvey', 'tropical storm', 'hundreds of evacuations', 'Hurricane Katrina', '10,000 displaced individuals', 'Tropical Storm Harvey', 'Hurricane Harvey', 'flooding', 'Category 4 storm', 'Hurricane Harvey', 'flood victims', 'flood stage', 'floodwaters', 'Tropical Storm Harvey', 'natural disasters']","['Water rose to chest-high in some areas, flooding homes and forcing hundreds of evacuations.', 'The storm was blamed for widespread flooding that chased thousands of people to rooftops or higher ground.', 'Residents evacuated their homes near the Addicks Reservoir as floodwaters from Tropical Storm Harvey rise on Aug. 29 in Houston, Texas.']",0.7150634228977109
2,2,20,['Cameron'],['The House bill passed on a 251-169 vote.'],0.16634243033392546
3,3,5,"['Louisiana', 'one-third of the Houston area', 'southwest Louisiana', 'Baton Rouge', 'Texas', 'Houston', 'Texas', 'Florida', 'Puerto Rico', 'California']",['About one-third of the Houston area is covered in water.'],0.44483061221122544
4,4,1,['4 a.m. CDT'],"['The storm made its third landfall just west of Cameron, Louisiana, at 4 a.m. CDT.']",0.2825718499027002
5,5,0,"['51 inches of rain', '10 to 20 inches of rain', '10 to 15 inches of rain', 'rain']","['An estimated 30,000 to 40,000 homes have been destroyed in the Houston area due to Hurricane Harvey.', 'Harvey dumped more than 51 inches of rain on some parts of Texas.', 'At least 31 deaths have been reported over the past five days due to Hurricane Harvey.', 'At least 37 deaths related to Hurricane Harvey and its aftermath have been reported in Texas.', 'Harris County saw 19 deaths due to the storm.', 'The storm dumped almost 52 inches of rain in parts of Texas.', 'Hurricane Harvey is affecting parts of southwest Louisiana.', 'Surrounding areas in southwest Louisiana have received 10 to 20 inches of rain.', 'Another 10 to 15 inches of rain is still possible.', 'At least 18 deaths were reported in the Houston area due to Hurricane Harvey.', 'Tropical Storm Harvey made landfall in southwestern Louisiana with maximum sustained winds of 45 mph (72 kph).', 'The rains in Cedar Bayou, Texas, totaled 51.88 inches (132 centimeters) as of Tuesday afternoon, setting a record for both Texas and the continental United States.', 'Hurricane Harvey resulted in at least two deaths and injuries to up to 14 people.', 'Rainfall totals varied across the region, with Galveston receiving around 8 inches, Houston 11 inches, Aransas 10 inches, and Austwell 15 inches.', 'Hurricane Harvey made landfall as a Category 4 storm with 130 mph winds.', 'Hurricane Harvey caused significant damage to residential, business, and marina areas in Rockport.', 'The National Weather Service forecasted up to 50 inches of rain in some areas by the end of the week.', 'The storm claimed at least two lives, with one death confirmed in Houston and another in Aransas County.', 'Port Aransas recorded the strongest wind gust of 132 mph from Hurricane Harvey.']",0.5937159129702395
6,6,0,"['31 deaths', '37 deaths', '19 deaths', '18 deaths', '2 deaths']","['An estimated 30,000 to 40,000 homes have been destroyed in the Houston area due to Hurricane Harvey.', 'Harvey dumped more than 51 inches of rain on some parts of Texas.', 'At least 31 deaths have been reported over the past five days due to Hurricane Harvey.', 'At least 37 deaths related to Hurricane Harvey and its aftermath have been reported in Texas.', 'Harris County saw 19 deaths due to the storm.', 'The storm dumped almost 52 inches of rain in parts of Texas.', 'Hurricane Harvey is affecting parts of southwest Louisiana.', 'Surrounding areas in southwest Louisiana have received 10 to 20 inches of rain.', 'Another 10 to 15 inches of rain is still possible.', 'At least 18 deaths were reported in the Houston area due to Hurricane Harvey.', 'Tropical Storm Harvey made landfall in southwestern Louisiana with maximum sustained winds of 45 mph (72 kph).', 'The rains in Cedar Bayou, Texas, totaled 51.88 inches (132 centimeters) as of Tuesday afternoon, setting a record for both Texas and the continental United States.', 'Hurricane Harvey resulted in at least two deaths and injuries to up to 14 people.', 'Rainfall totals varied across the region, with Galveston receiving around 8 inches, Houston 11 inches, Aransas 10 inches, and Austwell 15 inches.', 'Hurricane Harvey made landfall as a Category 4 storm with 130 mph winds.', 'Hurricane Harvey caused significant damage to residential, business, and marina areas in Rockport.', 'The National Weather Service forecasted up to 50 inches of rain in some areas by the end of the week.', 'The storm claimed at least two lives, with one death confirmed in Houston and another in Aransas County.', 'Port Aransas recorded the strongest wind gust of 132 mph from Hurricane Harvey.']",0.34243850898693906
7,7,16,"['Coast Guard', 'National Guard', 'National Guard', 'National Guard members', 'Coast Guard']","['Texas Governor Greg Abbott activated 3,000 National Guard members and planned to send an additional 1,000.']",0.4373758283250491
8,8,2,"['1,000 calls', '15,000 calls', '60,000 calls', '70,000 calls', '2,000 calls']","['The Coast Guard is taking more than 1,000 calls per hour from people needing rescue.', 'The National Guard has made 8,500 rescues and evacuated 26,000 people in Texas.', 'There are 32,000 people in shelters throughout Texas.', 'The Houston Fire Department has received about 15,000 calls for assistance.', 'Emergency workers and volunteers received 60,000 to 70,000 calls for help in Houston.', 'At least 9,000 to 10,000 people have been rescued in the Houston region by first responders.', 'First responders have rescued about 500 people so far.', 'There are currently 269 people in shelters in southwest Louisiana, 200 of whom were rescued.', '13,000 people were rescued in the Houston area and surrounding cities and counties in Southeast Texas.', 'More than 17,000 people have sought refuge in Texas shelters.', 'Authorities received more than 2,000 calls for help during the flooding.', 'Helicopters rescued flood victims from rooftops in Houston.', 'The Coast Guard rescued more than 100 people from rooftops and conducted over 2,000 multi-person rescues.']",0.42982909063068797
9,9,2,"['8,500 rescues', '9,000 rescues', '10,000 rescues']","['The Coast Guard is taking more than 1,000 calls per hour from people needing rescue.', 'The National Guard has made 8,500 rescues and evacuated 26,000 people in Texas.', 'There are 32,000 people in shelters throughout Texas.', 'The Houston Fire Department has received about 15,000 calls for assistance.', 'Emergency workers and volunteers received 60,000 to 70,000 calls for help in Houston.', 'At least 9,000 to 10,000 people have been rescued in the Houston region by first responders.', 'First responders have rescued about 500 people so far.', 'There are currently 269 people in shelters in southwest Louisiana, 200 of whom were rescued.', '13,000 people were rescued in the Houston area and surrounding cities and counties in Southeast Texas.', 'More than 17,000 people have sought refuge in Texas shelters.', 'Authorities received more than 2,000 calls for help during the flooding.', 'Helicopters rescued flood victims from rooftops in Houston.', 'The Coast Guard rescued more than 100 people from rooftops and conducted over 2,000 multi-person rescues.']",0.7757821207754441
